Family,Genus,Species,ISIfruits,ISIseeds,ISItotal,Latitude,Longitude,notes,source
Acanthaceae,Aphelandra,deppeana,,,0.71,9.087,-83.406,avg. see inds. Tab; greenhouse,McDade 1985
Acanthaceae,Aphelandra,golfodulcensis,,,0.33,8.738,-83.271,avg. see inds. Tab,McDade 1985
Acanthaceae,Aphelandra,hartwegiana,,,0.00,8.032,-77.717,,McDade 1985
Acanthaceae,Aphelandra,leonardii,,,0.30,9.747,-84.056,,McDade 1985
Acanthaceae,Aphelandra,lingua_bovis,,,-0.06,8.722,-81.298,avg. see inds. Tab,McDade 1985
Acanthaceae,Aphelandra,panamensis,,,0.14,8.665,-82.565,,McDade 1985
Acanthaceae,Aphelandra,sinclairiana,,,0.38,9.19,-79.763,,McDade 1985
Acanthaceae,Aphelandra,storkii,,,0.56,10.446,-84.009,,McDade 1985
Acanthaceae,Aphelandra,terryae,,,0.45,8.032,-77.717,,McDade 1985
Acanthaceae,Avicennia,germanians,-0.07,-0.05,-0.12,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Acanthaceae,Justicia,galapagana,-0.13,0.28,0.19,island,island,,McMullen 1987
Acanthaceae,Justicia,squarrosa,0.29,,,26.83,-65.33,,Aizen and Feinsinger 1994
Acanthaceae,Razisea,wilburii,0.09,-0.20,-0.09,10,-84,Tropicos,Grove 1985
Acanthaceae,Ruellia,asperula,-0.02,,,-8.46,-37.42,"Machado 1990, Machado and Sazima 1995",Machado et al. 2006
Acanthaceae,Ruellia,paniculata,0.10,,,-8.46,-37.42,Machado 1990,Machado et al. 2006
Acanthaceae,Ruellia,succulenta,0.01,0.02,0.03,,,Everglades NP;,Geiger et al. 2010
Acanthaceae,Ruellia,tuberosa,1.00,1.00,1.00,10.5,-66.88,,Jaimes and Ramirez 1999
Agapanthaceae,Agapanthus,campanulatus,0.22,0.08,0.29,-29.317,30.283,,Johnson et al. 2009
Agavaceae,Anthericum,liliago,-0.09,,,56.538,14.985,tetraploid species;percentages are averages of individuals; see other tab,Rosquist 2001
Agavaceae,Anthericum,ramosum,0.31,,,56.538,14.985,,Rosquist 2001
Agavaceae,Cordyline,kaspar,0.99,,,island,island,Beever 1981,Newstrom and Robertson 2005
Agavaceae,Hesperaloe,parviflora,1.00,,,29.883,-101,,Pellmyr and Augenstein 1997
Agavaceae,Phormium,tenax,0.45,-0.18,0.35,island,island,,multiple
Aizoaceae,Bergeranthus,multiceps,1.00,,,-33.101,25.62,,Peter et al. 2004
Aizoaceae,Carpobrotus,acinaciformis,0.00,-0.50,-0.50,island,island,,Suehs et al. 2004
Aizoaceae,Carpobrotus,edulis,0.00,-0.01,-0.01,island,island,,Suehs et al. 2004
Aizoaceae,Sesuvium,edmonstonei,0.06,0.23,0.28,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Aizoaceae,Sesuvium,portulacastrum,0.31,0.82,0.88,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Alismataceae,Sagittaria,latifolia,,0.13,,57,-110,Tropicos ,Dorken et al. 2001
Amaranthaceae,Gomphrena,alba,-0.10,0.00,-0.10,11.71,-69.78,set inf = 0,Lemus-Jimenez and Ramirez 2005
Amaryllidaceae,Alstroemeria,aurea,0.32,0.18,0.44,-25,-62,in spanish; no Tropicos; Aizen 2001 range,multiple
Amaryllidaceae,Alstroemeria,ligtu,0.58,0.59,0.83,-33.33,-70.33,subsp. simsii,Arroyo and Uslar 1993
Amaryllidaceae,Alstroemeria,pallida,0.55,-0.43,0.36,-33.33,-70.33,,Arroyo and Uslar 1993
Amaryllidaceae,Crinum,erubescens,0.20,0.82,0.86,9.617,-79.567,,Manasse and Pinney 1991
Amaryllidaceae,Cyrtanthus,breviflorus,,,0.95,,,Total ISI given ,Vaughton et al. 2010
Amaryllidaceae,Hippeastrum,bicolor,1.00,1.00,1.00,-33.33,-70.33,,Arroyo and Uslar 1993
Amaryllidaceae,Narcissus,albimarginatus,,0.81,,35.247,-5.44,,Perez-Barrales 2006
Amaryllidaceae,Narcissus,calcicola,,0.96,,35.538,-8.541,,Perez-Barrales 2006
Amaryllidaceae,Narcissus,cuatrecasasii,,0.86,,37.777,-3.6,,Perez-Barrales 2006
Amaryllidaceae,Narcissus,papyraceus,,1.00,,36.088,-5.775,transplant,Arroyo et al. 2002
Amaryllidaceae,Narcissus,rupicola,,0.24,,40.333,-4.811,,Perez-Barrales 2006
Amaryllidaceae,Narcissus,scaberulus,,1.00,,40.437,-7.957,,Perez-Barrales 2006
Amaryllidaceae,Narcissus,triandrus,0.66,,,39.555,-5.174,avg. see Inds. Tab,Sage et al. 1999
Anacardiaceae,Anacardium,occidentale,0.01,,,-12.451,130.844,avg. see inds. Tab,Foltan and Ludders 1995
Anacardiaceae,Spondias,mombin,1.00,,,10.53,-85.25,t estimate from Ward et al 2005,Bawa 1974
Anacardiaceae,Spondias,tuberosa,1.00,,,-7.333333333,-36.3,,Leite and Machado 2010
Annonaceae,Anaxagorea,crassipetala,0.27,,,10.433,-84,,Bawa et al. 1985a
Annonaceae,Annona,cherimola,-0.67,,,-3.469,-78.925,avg. see Inds. Tab; native range estimate,Richardson and Anderson 1996
Annonaceae,Asimina,parviflora,0.52,0.52,0.77,28.976,-81.299,"#s are averages, see individuals tab",Norman et al. 1992
Annonaceae,Cymbopetalum,sp,0.00,,,10.433,-84,,Bawa et al. 1985a
Annonaceae,Deeringothamnus,rugelii,0.80,-0.20,0.76,29.009,-80.982,,Norman 2003
Annonaceae,Polyalthia,coffeoides,0.47,,,island,island,,Ratnayake et al. 2006
Annonaceae,Polyalthia,korinti,0.47,,,island,island,,Ratnayake et al. 2006
Annonaceae,Sapranthus,palanga,1.00,,,10.53,-85.25,,Bawa 1974
Annonaceae,Uvaria,elmeri,1.00,1.00,1.00,4.033,113.833,,Nagamitsu and Inoue 1997
Annonaceae,Xylopia,brasiliensis,0.73,,,-21.228,-44.964,avg. see inds. Tab,Andrade et al. 1996
Apiaceae,Eryngium,cuneifolium,,0.07,,27.183,-81.347,,Evans et al. 2003
Apocynaceae,Asclepias,exaltata,0.82,0.22,0.86,36.867,-80.683,,Lipow et al. 1999
Apocynaceae,Asclepias,incarnata,0.50,,,38.805,-78.826,averaged studies,"Ivey et al. 1999, and Kephart 1981"
Apocynaceae,Asclepias,perennis,1.00,1.00,1.00,29.333,-103.311,greenhouse,Wyatt et al. 1998
Apocynaceae,Asclepias,subulata,0.93,0.70,0.98,23.75,-109.75,greenhouse,Wyatt et al. 1996
Apocynaceae,Asclepias,syriaca,0.92,,,38,-85,#s are ovule penetration,Kephart 1981
Apocynaceae,Asclepias,texana,1.00,1.00,1.00,29.333,-103.311,greenhouse,Wyatt et al. 1998
Apocynaceae,Asclepias,verticillata,1.00,,,38,-85,,Kephart 1981
Apocynaceae,Aspidosperma,macrocarpon,1.00,,,31.773,35.272,,multiple
Apocynaceae,Calotropis,gigantea,1.00,1.00,1.00,11.71,-69.78,moved into Apocynaceae,Lemus-Jimenez and Ramirez 2005
Apocynaceae,Calotropis,procera,1.00,1.00,1.00,11.71,-69.78,moved into Apocynaceae,Lemus-Jimenez and Ramirez 2005
Apocynaceae,Elytropus,chilensis,1.00,,,-40,-72.3,,Riveros et al. 1996
Apocynaceae,Gonolobus,suberosus,1.00,,,34.886,-90.527,,Lipow and Wyatt 1998
Apocynaceae,Hancornia,pubescens,0.88,,,-15.86666667,-47.85,,Oliveira et al. 2004
Apocynaceae,Macrosiphonia,petrae,0.24,,,-31.73,-64.43,,Morales and Galetto 2003
Apocynaceae,Mandevilla,pentlandiana,0.42,,,-32.064,-63.633,,Torres and Galetto 1999
